formula,minimum Number,range Number,avg_dev Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,maximum AtomicWeight,mean AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,maximum Row,range Row,avg_dev Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,range NfUnfilled,mean NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,bandgap_transformed
Ag(AuS)2,16.0,63.0,25.28,65.0,88.0,23.0,74.6,10.72,66.0,196.966569,113.1862676,32.065,388.36,1337.33,948.97,937.262,439.12159999999994,388.36,11.0,16.0,5.0,13.0,2.4,11.0,6.0,3.0,1.28,105.0,145.0,40.0,125.4,16.32,105.0,1.93,2.58,0.6500000000000001,2.434,0.2015999999999999,2.54,1.0,2.0,1.0,1.4,0.48,1.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,10.0,10.0,6.0,4.8,0.0,0.0,14.0,5.6,6.719999999999999,0.0,6.0,25.0,19.0,14.6,8.319999999999999,6.0,0.0,1.0,0.6,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.4,0.48,1.0,16.33,25.786875,20.26075,4.4209,16.7,0.0,2.202,0.8808,1.05696,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,163.0,74.4,70.0,0.0
Ag(W3Br7)2,35.0,39.0,15.61904761904762,51.0,95.0,44.0,81.0,18.666666666666668,95.0,183.84,110.93162857142856,79.904,265.8,3695.0,3429.2,1291.7204761904763,1373.3025850340136,265.8,6.0,17.0,11.0,13.571428571428571,4.571428571428571,17.0,6.0,2.0,0.8253968253968251,120.0,162.0,42.0,133.1904761904762,17.587301587301592,120.0,1.93,2.96,1.03,2.7395238095238095,0.293968253968254,2.96,1.0,2.0,1.0,1.9523809523809523,0.090702947845805,2.0,0.0,5.0,5.0,3.3333333333333335,2.2222222222222223,5.0,4.0,10.0,6.0,8.285714285714286,2.4489795918367343,10.0,0.0,14.0,4.0,5.714285714285714,0.0,11.0,20.0,9.0,17.571428571428573,1.387755102040817,17.0,0.0,1.0,0.0476190476190476,0.0907029478458049,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,6.0,1.7142857142857142,2.4489795918367347,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.4285714285714284,2.0408163265306123,1.0,16.05,29.48,25.01666666666667,5.951111111111111,29.48,0.0,1.457,0.9713333333333332,0.6475555555555556,1.457,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,118.8095238095238,73.07936507936508,64.0,0.0
Ag0.5Ge1Pb1.75S4,16.0,66.0,23.55291319857313,65.0,88.0,23.0,83.48275862068965,4.984542211652795,88.0,207.2,85.16332413793103,32.065,388.36,1234.93,846.57,611.4996551724139,251.48014268727712,388.36,11.0,16.0,5.0,14.89655172413793,1.2175980975029723,16.0,6.0,3.0,1.103448275862069,105.0,146.0,41.0,119.72413793103448,16.24732461355529,105.0,1.93,2.58,0.6500000000000001,2.3962068965517243,0.2028061831153389,2.58,1.0,2.0,1.0,1.9310344827586208,0.1284185493460165,2.0,0.0,4.0,4.0,2.9655172413793105,1.1414982164090366,4.0,0.0,10.0,10.0,4.482758620689655,4.946492271105826,0.0,0.0,14.0,3.3793103448275863,5.127229488703923,0.0,6.0,28.0,22.0,12.758620689655173,7.700356718192628,6.0,0.0,1.0,0.0689655172413793,0.1284185493460166,0.0,0.0,4.0,4.0,2.6206896551724137,1.0463733650416172,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.689655172413793,0.9940546967895364,2.0,16.33,28.11,25.311724137931034,1.875196195005945,25.786875,0.0,2.202,1.2677241379310344,1.030925089179548,2.202,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,139.48275862068965,76.6706302021403,70.0,1.0402767116551463
Ag0.5Ge1Pb1.75Se4,32.0,50.0,17.388822829964326,65.0,89.0,24.0,84.03448275862068,5.479191438763378,89.0,207.2,111.03642758620688,78.96,494.0,1234.93,740.9300000000001,669.7837931034484,227.362568370987,494.0,11.0,16.0,5.0,14.89655172413793,1.2175980975029723,16.0,6.0,2.0,0.760998810939358,120.0,146.0,26.0,128.0,11.03448275862069,120.0,1.93,2.55,0.6199999999999999,2.3796551724137927,0.1879667063020213,2.55,1.0,2.0,1.0,1.9310344827586208,0.1284185493460165,2.0,0.0,4.0,4.0,2.9655172413793105,1.1414982164090366,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,3.3793103448275863,5.127229488703923,0.0,11.0,28.0,17.0,18.275862068965516,4.694411414982163,16.0,0.0,1.0,0.0689655172413793,0.1284185493460166,0.0,0.0,4.0,4.0,2.6206896551724137,1.0463733650416172,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.689655172413793,0.9940546967895364,2.0,16.33,28.11,25.385172413793107,1.905588585017835,25.92,0.0,0.799,0.4936551724137931,0.3369322235434008,0.799,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,108.58620689655172,104.37098692033292,14.0,0.9202827531436925
Ag2BBr,5.0,42.0,14.25,65.0,95.0,30.0,74.25,10.375,65.0,107.8682,76.61285000000001,107.8682,265.8,2348.0,2082.2,1270.9150000000002,538.5425,1234.93,11.0,17.0,6.0,13.0,2.0,11.0,5.0,3.0,1.0,84.0,145.0,61.0,123.5,21.5,145.0,1.93,2.96,1.03,2.215,0.3724999999999999,1.93,1.0,2.0,1.0,1.5,0.5,1.0,0.0,5.0,5.0,1.5,1.75,0.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,14.0,10.5,3.75,11.0,0.0,1.0,0.5,0.5,1.0,0.0,5.0,5.0,1.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.5,1.0,7.1725,29.48,17.328125,6.075937500000001,16.33,0.0,1.524,0.74525,0.74525,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,170.0,55.0,225.0,0.0
Ag2BiO3,8.0,75.0,25.5,65.0,87.0,22.0,79.5,9.666666666666666,87.0,208.9804,78.78583333333334,15.9994,54.8,1234.93,1180.13,529.7766666666668,474.9766666666667,54.8,11.0,16.0,5.0,14.166666666666666,2.111111111111111,16.0,6.0,4.0,1.6666666666666667,66.0,148.0,82.0,106.0,40.0,66.0,1.93,3.44,1.51,2.6999999999999997,0.7399999999999999,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.5,1.6666666666666667,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,14.0,2.3333333333333335,3.888888888888889,0.0,6.0,29.0,23.0,11.5,5.833333333333333,6.0,0.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.8333333333333333,0.5555555555555555,2.0,9.105,32.95,15.4875,6.3825,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.0,94.66666666666669,12.0,0.0
Ag2GeS3,16.0,31.0,13.0,65.0,88.0,23.0,78.83333333333333,9.222222222222223,88.0,107.8682,64.09523333333333,32.065,388.36,1234.93,846.57,807.7233333333334,419.3633333333334,388.36,11.0,16.0,5.0,14.0,2.0,16.0,5.0,2.0,0.8333333333333334,105.0,145.0,40.0,120.83333333333331,16.11111111111111,105.0,1.93,2.58,0.6500000000000001,2.268333333333333,0.3116666666666667,2.58,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.3333333333333335,1.6666666666666667,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,9.0,3.0,6.0,0.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.6666666666666666,2.0,16.33,25.786875,22.170937499999997,3.893958333333334,25.786875,0.0,2.202,1.1648333333333334,1.0371666666666666,2.202,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,147.5,77.5,70.0,1.091923300517313
Ag2GeSe3,32.0,15.0,6.0,65.0,89.0,24.0,79.33333333333333,9.666666666666666,89.0,107.8682,87.54273333333333,78.96,494.0,1234.93,740.9300000000001,860.5433333333334,366.54333333333335,494.0,11.0,16.0,5.0,14.0,2.0,16.0,5.0,1.0,0.4444444444444443,120.0,145.0,25.0,128.33333333333334,11.111111111111114,120.0,1.93,2.55,0.6199999999999999,2.2533333333333334,0.2966666666666666,2.55,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.3333333333333335,1.6666666666666667,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.6666666666666666,2.0,16.33,25.92,22.2375,3.9383333333333344,25.92,0.0,0.799,0.4633333333333334,0.3356666666666667,0.799,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0,0.6418538861723947
Ag2HgI4,47.0,33.0,7.102040816326533,65.0,96.0,31.0,83.57142857142857,14.20408163265306,96.0,200.59,131.99204,126.90447,234.32,1234.93,1000.61,607.3685714285714,358.6065306122449,386.85,11.0,17.0,6.0,14.571428571428571,2.775510204081633,17.0,6.0,1.0,0.2448979591836737,132.0,145.0,13.0,139.71428571428572,3.0204081632653095,139.0,1.93,2.66,0.7300000000000002,2.357142857142857,0.3461224489795919,2.66,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,5.0,5.0,2.857142857142857,2.4489795918367347,5.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,2.0,3.4285714285714284,0.0,11.0,26.0,15.0,16.571428571428573,3.183673469387754,17.0,0.0,1.0,0.2857142857142857,0.4081632653061224,0.0,0.0,1.0,1.0,0.5714285714285714,0.489795918367347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.2448979591836735,1.0,16.33,43.015,32.85108374384286,11.615904292751022,43.015,0.0,1.062,0.6068571428571429,0.5201632653061224,1.062,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,124.57142857142856,69.22448979591836,64.0,1.244154593958768
Ag2Mo(I2O7)2,8.0,45.0,18.53968253968254,50.0,96.0,46.0,84.85714285714286,7.102040816326528,87.0,126.90447,49.68123238095239,15.9994,54.8,2896.0,2841.2,365.7361904761905,414.5815873015873,54.8,6.0,17.0,11.0,15.238095238095235,1.6870748299319736,16.0,5.0,3.0,1.3333333333333333,66.0,154.0,88.0,91.61904761904762,34.15873015873016,66.0,1.93,3.44,1.51,3.0866666666666664,0.4711111111111111,3.44,1.0,2.0,1.0,1.8571428571428572,0.2448979591836734,2.0,0.0,5.0,5.0,3.619047619047619,1.034013605442177,4.0,0.0,10.0,10.0,3.0952380952380953,4.126984126984127,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,8.571428571428571,3.6734693877551017,6.0,0.0,1.0,0.1428571428571428,0.2448979591836735,0.0,0.0,2.0,2.0,1.5238095238095235,0.634920634920635,2.0,0.0,5.0,0.238095238095238,0.4535147392290249,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,1.9047619047619049,0.5170068027210885,2.0,9.105,43.015,16.565714285714286,10.075918367346938,9.105,0.0,1.062,0.2022857142857143,0.3275102040816326,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,52.523809523809526,54.03174603174604,12.0,1.4011829736136414
